scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
network_degradation,Warehouse-M,fixed_vcg,default,obstacle_detection,65,7.327471962526033e-15,1.127303378850159e-16,7.327471962526033e-15,1.127303378850159e-16
network_degradation,Warehouse-M,fixed_vcg,default,path_replanning,100,1.9317880628477724e-14,1.9317880628477724e-16,1.9317880628477724e-14,1.9317880628477724e-16
network_degradation,Warehouse-M,fixed_vcg,default,perception,41,3.774758283725532e-15,9.206727521281785e-17,3.774758283725532e-15,9.206727521281785e-17
network_degradation,Warehouse-M,fixed_vcg,default,telemetry_diagnostics,99,1.1546319456101628e-14,1.16629489455572e-16,1.1546319456101628e-14,1.16629489455572e-16
network_degradation,Warehouse-M,qmix_heuristic,default,inventory_recognition,41,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,localization_slam,128,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,obstacle_detection,69,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,path_replanning,99,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,perception,42,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,telemetry_diagnostics,99,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,ample_amr,default,inventory_recognition,41,1.5987211554602254e-14,3.8993198913664035e-16,1.5987211554602254e-14,3.8993198913664035e-16
network_degradation,Warehouse-M,ample_amr,default,localization_slam,128,4.263256414560601e-14,3.3306690738754696e-16,4.263256414560601e-14,3.3306690738754696e-16
network_degradation,Warehouse-M,ample_amr,default,obstacle_detection,69,1.687538997430238e-14,2.445708691927881e-16,1.687538997430238e-14,2.445708691927881e-16
network_degradation,Warehouse-M,ample_amr,default,path_replanning,99,2.6867397195928788e-14,2.713878504639272e-16,2.6867397195928788e-14,2.713878504639272e-16
network_degradation,Warehouse-M,ample_amr,default,perception,42,8.43769498715119e-15,2.0089749969407595e-16,8.43769498715119e-15,2.0089749969407595e-16
network_degradation,Warehouse-M,ample_amr,default,telemetry_diagnostics,99,1.9539925233402755e-14,1.9737298215558337e-16,1.9539925233402755e-14,1.9737298215558337e-16
network_degradation,Warehouse-M,c_ample_amr,default,inventory_recognition,39,9.325873406851315e-15,2.391249591500337e-16,9.325873406851315e-15,2.391249591500337e-16
network_degradation,Warehouse-M,c_ample_amr,default,localization_slam,127,4.851674617611934e-14,3.8202162343401057e-16,4.851674617611934e-14,3.8202162343401057e-16
network_degradation,Warehouse-M,c_ample_amr,default,obstacle_detection,66,1.3322676295501878e-14,2.0185873175002846e-16,1.3322676295501878e-14,2.0185873175002846e-16
network_degradation,Warehouse-M,c_ample_amr,default,path_replanning,101,3.441691376337985e-14,3.407615224097015e-16,3.441691376337985e-14,3.407615224097015e-16
network_degradation,Warehouse-M,c_ample_amr,default,perception,43,8.215650382226158e-15,1.9106163679595717e-16,8.215650382226158e-15,1.9106163679595717e-16
network_degradation,Warehouse-M,c_ample_amr,default,telemetry_diagnostics,97,1.6431300764452317e-14,1.6939485324177645e-16,1.6431300764452317e-14,1.6939485324177645e-16
network_degradation,Warehouse-M,random_modes_heuristic,default,inventory_recognition,42,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,random_modes_heuristic,default,localization_slam,124,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,random_modes_heuristic,default,obstacle_detection,65,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,random_modes_heuristic,default,path_replanning,99,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,random_modes_heuristic,default,perception,39,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,random_modes_heuristic,default,telemetry_diagnostics,99,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,inventory_recognition,54,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,localization_slam,140,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,obstacle_detection,78,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,perception,45,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,telemetry_diagnostics,100,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,fixed_vcg,default,inventory_recognition,54,1.1546319456101628e-14,2.1382073066854866e-16,1.1546319456101628e-14,2.1382073066854866e-16
edge_node_failures,Warehouse-M,fixed_vcg,default,localization_slam,140,5.062616992290714e-14,3.616154994493367e-16,5.062616992290714e-14,3.616154994493367e-16
edge_node_failures,Warehouse-M,fixed_vcg,default,obstacle_detection,78,9.769962616701378e-15,1.25255930983351e-16,9.769962616701378e-15,1.25255930983351e-16
edge_node_failures,Warehouse-M,fixed_vcg,default,path_replanning,104,4.418687638008123e-14,4.2487381134693493e-16,4.418687638008123e-14,4.2487381134693493e-16
edge_node_failures,Warehouse-M,fixed_vcg,default,perception,45,1.199040866595169e-14,2.6645352591003756e-16,1.199040866595169e-14,2.6645352591003756e-16
edge_node_failures,Warehouse-M,fixed_vcg,default,telemetry_diagnostics,100,2.4202861936828413e-14,2.4202861936828414e-16,2.4202861936828413e-14,2.4202861936828414e-16
edge_node_failures,Warehouse-M,qmix_heuristic,default,inventory_recognition,51,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,localization_slam,140,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,obstacle_detection,81,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,perception,48,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,telemetry_diagnostics,100,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,ample_amr,default,inventory_recognition,51,9.325873406851315e-15,1.8286026287943754e-16,9.325873406851315e-15,1.8286026287943754e-16
edge_node_failures,Warehouse-M,ample_amr,default,localization_slam,140,7.238654120556021e-14,5.170467228968587e-16,7.238654120556021e-14,5.170467228968587e-16
edge_node_failures,Warehouse-M,ample_amr,default,obstacle_detection,81,2.042810365310288e-14,2.521988105321343e-16,2.042810365310288e-14,2.521988105321343e-16
edge_node_failures,Warehouse-M,ample_amr,default,path_replanning,104,5.839773109528323e-14,5.6151664514695415e-16,5.839773109528323e-14,5.6151664514695415e-16
edge_node_failures,Warehouse-M,ample_amr,default,perception,48,1.7763568394002505e-14,3.7007434154171886e-16,1.7763568394002505e-14,3.7007434154171886e-16
edge_node_failures,Warehouse-M,ample_amr,default,telemetry_diagnostics,100,3.6415315207705135e-14,3.641531520770513e-16,3.6415315207705135e-14,3.641531520770513e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,inventory_recognition,51,7.993605777301127e-15,1.5673736818237505e-16,7.993605777301127e-15,1.5673736818237505e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,localization_slam,138,6.861178292183467e-14,4.97186832766918e-16,6.861178292183467e-14,4.97186832766918e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,obstacle_detection,86,1.0880185641326534e-14,1.2651378652705272e-16,1.0880185641326534e-14,1.2651378652705272e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,path_replanning,104,3.0753177782116836e-14,2.957036325203542e-16,3.0753177782116836e-14,2.957036325203542e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,perception,45,6.217248937900877e-15,1.3816108750890837e-16,6.217248937900877e-15,1.3816108750890837e-16
edge_node_failures,Warehouse-M,c_ample_amr,default,telemetry_diagnostics,100,3.241851231905457e-14,3.241851231905457e-16,3.241851231905457e-14,3.241851231905457e-16
edge_node_failures,Warehouse-M,random_modes_heuristic,default,inventory_recognition,54,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,random_modes_heuristic,default,localization_slam,140,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,random_modes_heuristic,default,obstacle_detection,87,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,random_modes_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
edge_node_failures,Warehouse-M,random_modes_heuristic,default,perception,44,0.0,0.0,0.0,0.0
